company,category,likely_workflow,matched_pack_or_skin,priority,verification_status
OpenAI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Google DeepMind,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Google Cloud,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Alphabet,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Microsoft,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Microsoft Azure,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Amazon Web Services,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Amazon,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Meta,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Apple,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
NVIDIA,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
xAI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Tesla,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
IBM,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Oracle,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Salesforce,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
ServiceNow,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
SAP,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Adobe,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Databricks,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Snowflake,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Palantir,Hold Review,Licensing-boundary review required before any outreach or engagement,HOLD_REVIEW,hold_review,unverified
Cohere,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Mistral AI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Aleph Alpha,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
AI21 Labs,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Character.AI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Perplexity AI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Inflection AI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Adept AI,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Cognition AI,DevTools,"Agentic software, code-generation, task-completion, handoff, and evidence-boundary review",Core Agentic Workflow Diagnostic,High,unverified
Anysphere,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Cursor,DevTools,"Agentic software, code-generation, task-completion, handoff, and evidence-boundary review",Core Agentic Workflow Diagnostic,High,unverified
Replit,DevTools,"Agentic software, code-generation, task-completion, handoff, and evidence-boundary review",Core Agentic Workflow Diagnostic,High,unverified
Magic,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Poolside,DevTools,"Agentic software, code-generation, task-completion, handoff, and evidence-boundary review",Core Agentic Workflow Diagnostic,High,unverified
Imbue,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
Glean,Core AI / Enterprise,"Agentic workflow, evidence handling, scope boundary, handoff, escalation, and recovery-path review",Core Agentic Workflow Diagnostic,Medium,unverified
